formatted_name,formatted_universe,year,role,gender,eye,hair,color1,color2,description,image,banner,name,universe
Ezio Auditore,Assassin's Creed,2009,Protagonist,Male,Brown,Brown,Gray,Red,"Ezio Auditore da Firenze (1459 – 1524) was a Florentine nobleman during the Renaissance, and, unbeknownst to most historians and philosophers, a Master Assassin and the Mentor of the Italian Brotherhood of Assassins, a title which he held from 1503 to 1513. He is also an ancestor of William and Desmond Miles, as well as Clay Kaczmarek.

A member of the House of Auditore, Ezio remained unaware of his Assassin heritage until the age of 17, when he witnessed the hanging of his father and two brothers, Federico and Petruccio. Forced to flee his birthplace with his remaining family members—his mother and sister—Ezio took refuge with his uncle in the Tuscan town of Monteriggioni, at the Villa Auditore.

After learning of his heritage from Mario, Ezio began his Assassin training and set about on his quest for vengeance against the Templar Order, and their Grand Master, the Spaniard Rodrigo Borgia, who had ordered the execution of his kin.

During his travels, Ezio managed to not only unite the pages of the Codex, written by Altaïr Ibn-La'Ahad, Mentor of the Levantine Brotherhood of Assassins, but also to save the cities of Florence, Venice, and Rome from Templar rule.

He ensured the future travels of Christopher Columbus to the New World, liberated Rome from Borgia rule, and prevented the rise to power of Ercole Massimo's Cult of Hermes, helping spread the Renaissance and Assassin ideals of independence and free will throughout Italy.

In the years that followed, Ezio began a quest to rediscover the lost history of the Order. Travelling to the aged fortress of Masyaf in order to learn more of the Assassins before him, he discovered it overrun with Templars and made his way to the city of Constantinople to uncover the location of the Masyaf keys which, as he discovered, would unlock the fortress's fabled hidden library when brought together.

A decade later, Ezio had retired and resided in a Tuscan villa with his wife, Sofia Sartor, and his two children; Flavia and Marcello. Sometime after helping teach the Chinese Assassin Shao Jun the ways of the Order, Ezio died of a heart attack at the age of 65, during a visit to Florence with his wife and daughter.

",assassins_creed_ezio_auditore.png,banner_assassins_creed.png,ezio auditore,assassins creed
Edward Kenway,Assassin's Creed,2013,Protagonist,Male,Brown,Yellow,Gray,Red,"Edward James Kenway (1693 – 1735) was a Welsh-born British privateer-turned-pirate and a member of the West Indies and British Brotherhoods of Assassins.

Born to humble farmers, Edward always sought to acquire riches and fame. He became a privateer for the Royal Navy early in his life and, once accepted, found himself stationed in the West Indies. However, an abrupt end to the War of the Spanish Succession and the promise of gold, glory and fame eventually seduced him into a life of piracy. It was during this quest that Edward first encountered the Assassins and Templars, and became embroiled in their struggle.

Over the next few years, Edward struggled with the internal conflict that arose from his desire for fame and riches—through finding the Observatory—and his duty to his friends. After losing nearly all of his closest friends, he realized the folly of his quest for glory. He then joined the Assassin Order, hunted down the Templars in the region and entrusted the Observatory to the Assassins.

After a decade in the West Indies, Edward returned to Britain and received a pardon from Robert Walpole. He soon acquired an estate in London and married Tessa Stephenson-Oakley, with whom he fathered a son named Haytham. He quickly joined the British Assassins, rising up to the rank of Master Assassin, and eventually, leader. Continuing his work as an Assassin, Edward researched the First Civilization, and kept the research in a journal. In 1735, he was killed by mercenaries in the employ of the Templar Grand Master Reginald Birch, in order to acquire the journal. Haytham would later father Ratonhnhaké:ton; through this line, Edward is an ancestor of William Miles, and his son, Desmond.

In 2013, Abstergo Entertainment tasked a research analyst exploring Edward's genetic memories in order to gather footage for a planned video game, Pirates of Nightmares. Three years later, Abstergo Entertainment uses the resources to make a downloadable content for Identity Project.

",assassins_creed_edward_kenway.png,banner_assassins_creed.png,edward kenway,assassins creed
Evie Frye,Assassin's Creed,2015,Protagonist,Female,Blue,Brown,Dark Gray,Red,"Dame Evie Frye (born 1847) was a Master Assassin of the British Brotherhood, active in London during the Victorian era, and the elder twin sister of Jacob Frye. She was also a member of the Order of the Sacred Garter, and the grand-aunt of Lydia Frye.

Originating from Crawley, Evie and her brother traveled to London to liberate London from the Templars' control and help the poverty-stricken masses, following the death of their father by natural causes. To accomplish this, she and Jacob founded the Rooks, a criminal syndicate that opposed the Templar-backed Blighters.

While Jacob focused on eliminating targets instrumental to Grand Master Crawford Starrick's operations, Evie pursued the Shroud of Eden, a First Civilization artifact hidden within the city. In doing so, she regularly came into conflict with Lucy Thorne, Starrick's second-in-command and an expert on the Pieces of Eden.

",assassins_creed_evie_frye.png,banner_assassins_creed.png,evie frye,assassins creed
Altair Ibn-LaAhad,Assassin's Creed,2007,Protagonist,Male,Brown,Black,Gray,Red,"Altaïr Ibn-La'Ahad (1165 – 1257) was a member of the Levantine Brotherhood of Assassins who served as their Mentor from 1191 until his death in 1257. During his tenure as Mentor, through the knowledge of an Apple of Eden, Altaïr made several discoveries and inventions that greatly helped the Order's progression. His leadership saw to the spread of the Assassins' influence throughout the Old World.

Raised to be an Assassin from birth, Altaïr became a Master Assassin at age 25, an accomplishment unheard of for one so young.He failed to recover an Apple of Eden from Robert de Sablé in July 1191 and subsequently allowed the Templars to attack the town of Masyaf, headquarters of the Assassins. For this, he was demoted to the rank of novice and sent on a quest for redemption.

Tasked with the deaths of nine individuals who, unbeknownst to him, made up the ranks of the Templar Order in the Holy Land, Altaïr began a quest to change his ways and liberate the Kingdom from their corruption. During his quest, however, Altaïr learned of a plot far more sinister than he originally believed. In completing his mission, he also cleansed the Order of its treacherous leader Al Mualim. Altaïr thereafter became Mentor, taking the Assassins in a new, more secretive direction.

With the Apple in hand, Altaïr changed the way members of his Order lived their lives, writing the details in his fabled Codex for later generations of the Order to read. Altaïr's vision of the Assassin Order was for them to be spread across the world, living among the people, and he began establishing many Assassins Guilds during his tenure as Mentor. Throughout his travels, Altaïr strengthened his Order, stopping various Templar plots over the years as well as halting the inexorable march of Genghis Khan. Altaïr is an ancestor to Desmond Miles, through the maternal line.",assassins_creed_altair_ibnlaahad.png,banner_assassins_creed.png,altair ibnlaahad,assassins creed
Rodrigo Borgia,Assassin's Creed,2009,Antagonist,Male,Brown,Black,Red,Light Gray,"Rodrigo Borgia (1431 – 1503), born Roderic Llançol i de Borja (Valencian: Rodrigo Liançol i de Borja; Spanish: Rodrigo Lanzoi y de Borja), was the head of the Catholic Church from 11 August 1492 until his death, reigning as Pope Alexander VI. From 1476, he served as Grand Master of the Roman Rite of the Templar Order.

Originally hailing from Spain, Rodrigo moved to Italy where he studied and joined the Catholic Church, eventually becoming a cardinal. Using the influence he gained from his clerical position, Rodrigo conspired several plots to murder political leaders across the country to claim it under the Templar banner. As one of the wealthiest men in Europe, Rodrigo's power as Grand Master spread all over the continent.

In 1488, Rodrigo was responsible for shipping an Apple of Eden from Cyprus to Venice, before it was stolen by his arch-enemy, Ezio Auditore da Firenze and his fellow Italian Assassins. In 1492, via several bribes and power plays, Rodrigo won the Papal conclave, and became one of the most controversial Renaissance popes.

Under the leadership of the House of Borgia, the Templars focused primarily on establishing their power and control in Europe, losing sight of their true ideology. The Templars commonly refer to this era as the ""Dark Age of the Order"".",assassins_creed_rodrigo_borgia.png,banner_assassins_creed.png,rodrigo borgia,assassins creed
Crash Bandicoot,Crash,1996,Protagonist,Male,Green,None / Undefined,Orange,Blue,"Crash Bandicoot is the title character and main protagonist of the Crash Bandicoot series. Introduced in the 1996 video game Crash Bandicoot, Crash is a mutant eastern barred bandicoot who was genetically enhanced by the series' main antagonist Doctor Neo Cortex and soon escaped from Cortex's castle after a failed experiment in the ""Cortex Vortex"". Throughout the series, Crash acts as the opposition against Cortex and his schemes for world domination. While Crash has a number of offensive maneuvers at his disposal, his most distinctive technique is one in which he spins like a tornado at high speeds and knocks away almost anything that he strikes. Crash was created by Andy Gavin and Jason Rubin, and was originally designed by Charles Zembillas. Crash was intended to be a mascot character for Sony to use to compete against Nintendo's Mario and Sega's Sonic the Hedgehog. Before Crash was given his name (which stems from the visceral reaction to the character's destruction of boxes), he was referred to as ""Willie the Wombat"" for much of the duration of the first game's production. Crash has drawn comparisons to mascots such as Mario and Sonic the Hedgehog by reviewers. His animations have been praised, while his voice has faced criticism. He has been redesigned several times throughout many games, which have drawn mixed reactions.",crash_crash_bandicoot.png,banner_crash.png,crash bandicoot,crash
Neo Cortex,Crash,1996,Antagonist,Male,Red,Black,Yellow,Light Gray,"Doctor Neo Cortex is a fictional character and the main antagonist of the Crash Bandicoot video game series. He has appeared in every mainline game in the series as Crash Bandicoot's archenemy, as well as a playable character in several spin-off titles. Cortex is an egomaniacal mad scientist who seeks to achieve world domination with the use of the Evolvo-Ray, a machine capable of creating genetically enhanced soldiers from ordinary animals. Crash was one such subject but thwarted the scientist's plot; Cortex is subsequently determined to eliminate Crash as an obstacle to world domination. Cortex was created by Naughty Dog founders Andy Gavin and Jason Rubin, and was originally designed by Charles Zembillas. Voice actors who have portrayed Cortex include Brendan O'Brien, Clancy Brown and Lex Lang. Cortex has been positively received by reviewers, with much of the praise going to Brown's and Lang's vocal performances as well as the character's portrayal in Crash Twinsanity.",crash_neo_cortex.png,banner_crash.png,neo cortex,crash
Nitrus Brio,Crash,1996,Enemy,Male,Brown,None / Undefined,Green,Light Gray,"Dr. Nitrus Brio (a.k.a. N. Brio) is a scientist who formerly worked under Neo Cortex. Brio's loyalty has fluctuated throughout the series, working on his own accord in Crash Bandicoot 2: Cortex Strikes Back, with Nefarious Tropy in Crash Twinsanity, and even returning to Cortex's side in Crash Bash, Crash: Mind Over Mutant and Crash Bandicoot 4: It's About Time. His name was a play on the word ""embryo"" (a fact that he himself alludes to in Mind Over Mutant).",crash_nitrus_brio.png,banner_crash.png,nitrus brio,crash
Aku Aku,Crash,1996,Neutral,Male,Yellow,None / Undefined,Brown,Yellow,"Aku Aku is the guardian of the Wumpa Islands and the father figure of Crash and his friends. Aku Aku is the spirit of an ancient witch doctor encased in a floating, wooden mask. During Crash's missions to stop Doctor Neo Cortex, he scattered copies of himself throughout the travels in an effort to aid him in his mission. Whenever Crash possesses an Aku Aku mask, he will be shielded from one enemy attack or contact. Collecting three Aku Aku masks gives Crash temporary invulnerability from all minor dangers. Producer David Siller provided his ""Ooga Booga"" and gibberish voice clips. His speaking voice was provided by Mel Winkler from Crash Bandicoot: Warped to Crash Twinsanity, by Cornell John in Crash Bash, and Greg Eagles from Crash of the Titans onwards. Aku Aku was named after a Polynesian restaurant near the Alewife station that featured giant tiki statues out front. Steven Rodriguez of Nintendo World Report, in his review of Crash Nitro Kart, described Aku Aku's voice when giving advice between races as ""sexy"" and cited it as the best part of the game's audio, but admitted that ""even he gets rather annoying."" In his review of Crash of the Titans, Brian Rowe of GameRevolution, while deeming the ability to ""slap Aku Aku’s face into the ground and ride it like a surfboard"" as ""harshly inconsiderate"", considered it ""payback for his gratingly poor impersonations of that other floating head of wisdom – Frylock."" Lucas Sullivan of GamesRadar+, in a dedicated installment of the ""Why I Love"" series, compared Aku Aku's charm to that of Mumbo Jumbo of Banjo-Kazooie, adding that his vocalizations and protective hovering within Crash's vicinity exuded more personality than the power-ups in the Mario series. He also enjoyed Aku Aku's speaking role in the series' later installments, describing his voice as having a ""vaguely Morgan Freeman-esque timbre"". The staff of GameRevolution included Aku Aku in a list of the best power-ups in video games, describing him as an ""all-around swell guy"".",crash_aku_aku.png,banner_crash.png,aku aku,crash
Coco Bandicoot,Crash,1997,Secondary,Female,Green,Yellow,Brown,Blue,"Coco Bandicoot is Crash's spirited and highly intelligent younger sister. By nature, she is a tinkerer and problem solver, possessing an innate inquisitiveness and fanciful imagination. She is frequently equipped with a laptop or tablet computer, which is filled with schematics, works in progress, and personal notes. Unlike Crash, she possesses a healthy skepticism of others and their motivations. She seeks to get Crash's relaxed lifestyle more organized, and while she is content to allow Crash to make his own mistakes and derive amusement from the results, she is prepared to intervene when Crash finds himself in legitimate danger. Coco first appeared in Crash Bandicoot 2: Cortex Strikes Back, in which she uses her hacking skills to sporadically appear via hologram and warn Crash of Cortex's intentions. She appears as a playable character in select levels of Crash Bandicoot: Warped and Crash Bandicoot: The Wrath of Cortex. She is twice incapacitated in her minor appearance in Crash Twinsanity, and is kidnapped and brainwashed into aiding Nina Cortex's plot in Crash of the Titans; in the Nintendo DS version of the latter game, she appears as a vendor selling upgrades for Crash's abilities. In the Wii and Xbox 360 versions of Crash: Mind over Mutant, Coco becomes a playable character in the two-player mode after being freed from the influence of the NV device. She is a selectable player character for the entirety of Crash Bandicoot 4: It's About Time, and is the subject of a number of unlockable ""Flashback Tape"" levels, which take place during the course of the first game. The tapes reveal that Coco was created by Cortex a month after Crash's escape from his castle, and was Cortex's last bandicoot before he would consider replacement animals. Coco's signature overalls were a hand me down originally crafted by Doctor N. Brio's mother and donated by Cortex without Brio's consent. During her training, Coco displayed a fascination with technology (as well as a video game addiction), which Doctor N. Gin took as an opportunity to mentor her in mechanics and computing. Coco ultimately escaped Cortex's castle under the guise of undertaking another trial. Coco is a playable character in the racing games Crash Team Racing, Crash Nitro Kart, and Crash Tag Team Racing, as well as the party titles Crash Bash and Crash Boom Bang!. Following a minor appearance in Crash Bandicoot: The Huge Adventure, she appears as a brainwashed boss character in Crash Bandicoot 2: N-Tranced, in which she is subsequently a playable character in select levels. In Crash Bandicoot Purple: Ripto's Rampage, she teams up with the Professor of the Spyro series to track down Cortex and Ripto. After being freed from Nina Cortex's capture, the pair are able to trace the villains to their hideout with Crash's and Spyro's assistance. Coco was designed by Charles Zembillas and Naughty Dog as a counterbalance to Tawna (Crash's girlfriend in the first game) that would appease Sony Computer Entertainment Japan, who were not comfortable with a ""super sexy"" character being alongside Crash. Charles Zembillas' first sketches of Coco were drawn on March 18, 1997. She is voiced by Vicki Winters in Cortex Strikes Back, Hynden Walch in Crash Team Racing, Debi Derryberry from Crash Bandicoot: The Wrath of Cortex to Crash Bandicoot: On the Run!, Tara Strong in the third season of Skylanders Academy, and by Eden Riegel in Crash Bandicoot 4: It's About Time.",crash_coco_bandicoot.png,banner_crash.png,coco bandicoot,crash
